             rho         Re(p_n)         Im(p_n)
      0.5289E+00      0.7239E-07     -0.7439E-10
      0.5324E+00      0.8146E-07     -0.8372E-10
      0.5359E+00      0.9131E-07     -0.9384E-10
      0.5395E+00      0.1019E-06     -0.1047E-09
      0.5430E+00      0.1131E-06     -0.1162E-09
      0.5465E+00      0.1247E-06     -0.1282E-09
      0.5500E+00      0.1363E-06     -0.1401E-09
      0.5535E+00      0.1478E-06     -0.1519E-09
      0.5570E+00      0.1585E-06     -0.1629E-09
      0.5605E+00      0.1678E-06     -0.1725E-09
      0.5641E+00      0.1746E-06     -0.1795E-09
      0.5676E+00      0.1777E-06     -0.1826E-09
      0.5711E+00      0.1749E-06     -0.1798E-09
      0.5746E+00      0.1639E-06     -0.1685E-09
      0.5781E+00      0.1410E-06     -0.1449E-09
      0.5816E+00      0.1014E-06     -0.1042E-09
      0.5852E+00      0.3842E-07     -0.3949E-10
      0.5887E+00      0.5685E-07     -0.5843E-10
      0.5922E+00      0.1979E-06     -0.2033E-09
      0.5957E+00      0.3993E-06     -0.4104E-09
      0.5992E+00      0.6839E-06     -0.7028E-09
      0.6027E+00      0.1082E-05     -0.1112E-08
      0.6062E+00      0.1635E-05     -0.1680E-08
      0.6098E+00      0.2399E-05     -0.2466E-08
      0.6133E+00      0.3451E-05     -0.3547E-08
      0.6168E+00      0.4897E-05     -0.5033E-08
      0.6203E+00      0.6879E-05     -0.7070E-08
      0.6238E+00      0.9595E-05     -0.9861E-08
      0.6273E+00      0.1331E-04     -0.1368E-07
      0.6309E+00      0.1840E-04     -0.1891E-07
      0.6344E+00      0.2537E-04     -0.2607E-07
      0.6379E+00      0.3488E-04     -0.3584E-07
      0.6414E+00      0.4785E-04     -0.4918E-07
      0.6449E+00      0.6555E-04     -0.6737E-07
      0.6484E+00      0.8966E-04     -0.9215E-07
      0.6520E+00      0.1225E-03     -0.1259E-06
      0.6555E+00      0.1671E-03     -0.1717E-06
      0.6590E+00      0.2277E-03     -0.2340E-06
      0.6625E+00      0.3099E-03     -0.3185E-06
      0.6660E+00      0.4213E-03     -0.4330E-06
      0.6695E+00      0.5723E-03     -0.5881E-06
      0.6730E+00      0.7763E-03     -0.7978E-06
      0.6766E+00      0.1052E-02     -0.1081E-05
      0.6801E+00      0.1423E-02     -0.1462E-05
      0.6836E+00      0.1921E-02     -0.1974E-05
      0.6871E+00      0.2588E-02     -0.2660E-05
      0.6906E+00      0.3477E-02     -0.3573E-05
      0.6941E+00      0.4657E-02     -0.4786E-05
      0.6977E+00      0.6218E-02     -0.6390E-05
      0.7012E+00      0.8271E-02     -0.8500E-05
      0.7047E+00      0.1096E-01     -0.1126E-04
      0.7082E+00      0.1447E-01     -0.1487E-04
      0.7117E+00      0.1901E-01     -0.1954E-04
      0.7152E+00      0.2487E-01     -0.2556E-04
      0.7188E+00      0.3238E-01     -0.3328E-04
      0.7223E+00      0.4193E-01     -0.4309E-04
      0.7258E+00      0.5397E-01     -0.5546E-04
      0.7293E+00      0.6902E-01     -0.7093E-04
      0.7328E+00      0.8765E-01     -0.9008E-04
      0.7363E+00      0.1105E+00     -0.1135E-03
      0.7398E+00      0.1381E+00     -0.1420E-03
      0.7434E+00      0.1712E+00     -0.1759E-03
      0.7469E+00      0.2103E+00     -0.2161E-03
      0.7504E+00      0.2558E+00     -0.2629E-03
      0.7539E+00      0.3080E+00     -0.3165E-03
      0.7574E+00      0.3668E+00     -0.3769E-03
      0.7609E+00      0.4317E+00     -0.4437E-03
      0.7645E+00      0.5019E+00     -0.5158E-03
      0.7680E+00      0.5760E+00     -0.5919E-03
      0.7715E+00      0.6518E+00     -0.6699E-03
      0.7750E+00      0.7270E+00     -0.7472E-03
      0.7785E+00      0.7987E+00     -0.8209E-03
      0.7820E+00      0.8638E+00     -0.8877E-03
      0.7855E+00      0.9191E+00     -0.9446E-03
      0.7891E+00      0.9617E+00     -0.9884E-03
      0.7926E+00      0.9893E+00     -0.1017E-02
      0.7961E+00      0.1000E+01     -0.1028E-02
      0.7996E+00      0.9932E+00     -0.1021E-02
      0.8031E+00      0.9690E+00     -0.9958E-03
      0.8066E+00      0.9287E+00     -0.9544E-03
      0.8102E+00      0.8744E+00     -0.8986E-03
      0.8137E+00      0.8089E+00     -0.8313E-03
      0.8172E+00      0.7354E+00     -0.7558E-03
      0.8207E+00      0.6573E+00     -0.6756E-03
      0.8242E+00      0.5778E+00     -0.5939E-03
      0.8277E+00      0.4997E+00     -0.5136E-03
      0.8313E+00      0.4254E+00     -0.4372E-03
      0.8348E+00      0.3565E+00     -0.3663E-03
      0.8383E+00      0.2942E+00     -0.3023E-03
      0.8418E+00      0.2392E+00     -0.2458E-03
      0.8453E+00      0.1916E+00     -0.1969E-03
      0.8488E+00      0.1512E+00     -0.1554E-03
      0.8523E+00      0.1176E+00     -0.1209E-03
      0.8559E+00      0.9016E-01     -0.9266E-04
      0.8594E+00      0.6805E-01     -0.6994E-04
      0.8629E+00      0.5055E-01     -0.5195E-04
      0.8664E+00      0.3691E-01     -0.3793E-04
      0.8699E+00      0.2645E-01     -0.2718E-04
      0.8734E+00      0.1855E-01     -0.1906E-04
      0.8770E+00      0.1269E-01     -0.1304E-04
      0.8805E+00      0.8411E-02     -0.8644E-05
      0.8840E+00      0.5349E-02     -0.5497E-05
      0.8875E+00      0.3203E-02     -0.3292E-05
      0.8910E+00      0.1736E-02     -0.1784E-05
      0.8945E+00      0.7624E-03     -0.7835E-06
      0.8980E+00      0.1410E-03     -0.1450E-06
      0.9016E+00      0.2342E-03     -0.2407E-06
      0.9051E+00      0.4417E-03     -0.4539E-06
      0.9086E+00      0.5383E-03     -0.5532E-06
      0.9121E+00      0.5643E-03     -0.5799E-06
      0.9156E+00      0.5477E-03     -0.5629E-06
      0.9191E+00      0.5076E-03     -0.5216E-06
      0.9227E+00      0.4563E-03     -0.4690E-06
      0.9262E+00      0.4020E-03     -0.4131E-06
      0.9297E+00      0.3491E-03     -0.3588E-06
      0.9332E+00      0.3003E-03     -0.3086E-06
      0.9367E+00      0.2566E-03     -0.2637E-06
      0.9402E+00      0.2184E-03     -0.2244E-06
      0.9437E+00      0.1853E-03     -0.1905E-06
      0.9473E+00      0.1570E-03     -0.1614E-06
      0.9508E+00      0.1329E-03     -0.1366E-06
      0.9543E+00      0.1125E-03     -0.1156E-06
      0.9578E+00      0.9505E-04     -0.9768E-07
      0.9613E+00      0.8020E-04     -0.8243E-07
      0.9648E+00      0.6750E-04     -0.6937E-07
      0.9684E+00      0.5657E-04     -0.5813E-07
      0.9719E+00      0.4710E-04     -0.4840E-07
      0.9754E+00      0.3883E-04     -0.3991E-07
      0.9789E+00      0.3156E-04     -0.3243E-07
      0.9824E+00      0.2509E-04     -0.2578E-07
      0.9859E+00      0.1928E-04     -0.1981E-07
      0.9895E+00      0.1398E-04     -0.1437E-07
      0.9930E+00      0.9087E-05     -0.9338E-08
      0.9965E+00      0.4468E-05     -0.4591E-08
      0.1000E+01      0.0000E+00      0.0000E+00
