               r         Re(p_n)         Im(p_n)
      0.5465E+00      0.5882E-07      0.4015E-19
      0.5500E+00      0.6659E-07      0.4546E-19
      0.5535E+00      0.7483E-07      0.5108E-19
      0.5570E+00      0.8336E-07      0.5691E-19
      0.5605E+00      0.9191E-07      0.6275E-19
      0.5641E+00      0.1000E-06      0.6829E-19
      0.5676E+00      0.1071E-06      0.7310E-19
      0.5711E+00      0.1121E-06      0.7650E-19
      0.5746E+00      0.1135E-06      0.7746E-19
      0.5781E+00      0.1092E-06      0.7452E-19
      0.5816E+00      0.9595E-07      0.6550E-19
      0.5852E+00      0.6928E-07      0.4729E-19
      0.5887E+00      0.2264E-07      0.1545E-19
      0.5922E+00      0.5318E-07      0.3631E-19
      0.5957E+00      0.1711E-06      0.1168E-18
      0.5992E+00      0.3492E-06      0.2384E-18
      0.6027E+00      0.6127E-06      0.4183E-18
      0.6062E+00      0.9966E-06      0.6804E-18
      0.6098E+00      0.1550E-05      0.1058E-17
      0.6133E+00      0.2341E-05      0.1598E-17
      0.6168E+00      0.3464E-05      0.2365E-17
      0.6203E+00      0.5051E-05      0.3448E-17
      0.6238E+00      0.7286E-05      0.4974E-17
      0.6273E+00      0.1042E-04      0.7116E-17
      0.6309E+00      0.1481E-04      0.1011E-16
      0.6344E+00      0.2094E-04      0.1429E-16
      0.6379E+00      0.2946E-04      0.2011E-16
      0.6414E+00      0.4129E-04      0.2818E-16
      0.6449E+00      0.5765E-04      0.3936E-16
      0.6484E+00      0.8023E-04      0.5477E-16
      0.6520E+00      0.1113E-03      0.7599E-16
      0.6555E+00      0.1540E-03      0.1051E-15
      0.6590E+00      0.2125E-03      0.1451E-15
      0.6625E+00      0.2924E-03      0.1996E-15
      0.6660E+00      0.4016E-03      0.2742E-15
      0.6695E+00      0.5503E-03      0.3757E-15
      0.6730E+00      0.7524E-03      0.5136E-15
      0.6766E+00      0.1026E-02      0.7007E-15
      0.6801E+00      0.1397E-02      0.9536E-15
      0.6836E+00      0.1896E-02      0.1294E-14
      0.6871E+00      0.2566E-02      0.1752E-14
      0.6906E+00      0.3461E-02      0.2363E-14
      0.6941E+00      0.4651E-02      0.3175E-14
      0.6977E+00      0.6227E-02      0.4251E-14
      0.7012E+00      0.8303E-02      0.5669E-14
      0.7047E+00      0.1103E-01      0.7527E-14
      0.7082E+00      0.1458E-01      0.9950E-14
      0.7117E+00      0.1918E-01      0.1309E-13
      0.7152E+00      0.2512E-01      0.1715E-13
      0.7188E+00      0.3272E-01      0.2234E-13
      0.7223E+00      0.4239E-01      0.2894E-13
      0.7258E+00      0.5457E-01      0.3726E-13
      0.7293E+00      0.6980E-01      0.4765E-13
      0.7328E+00      0.8865E-01      0.6052E-13
      0.7363E+00      0.1117E+00      0.7626E-13
      0.7398E+00      0.1396E+00      0.9532E-13
      0.7434E+00      0.1730E+00      0.1181E-12
      0.7469E+00      0.2124E+00      0.1450E-12
      0.7504E+00      0.2582E+00      0.1763E-12
      0.7539E+00      0.3107E+00      0.2121E-12
      0.7574E+00      0.3698E+00      0.2524E-12
      0.7609E+00      0.4350E+00      0.2970E-12
      0.7645E+00      0.5054E+00      0.3450E-12
      0.7680E+00      0.5795E+00      0.3956E-12
      0.7715E+00      0.6554E+00      0.4474E-12
      0.7750E+00      0.7304E+00      0.4987E-12
      0.7785E+00      0.8019E+00      0.5474E-12
      0.7820E+00      0.8665E+00      0.5916E-12
      0.7855E+00      0.9213E+00      0.6289E-12
      0.7891E+00      0.9632E+00      0.6576E-12
      0.7926E+00      0.9900E+00      0.6759E-12
      0.7961E+00      0.1000E+01      0.6827E-12
      0.7996E+00      0.9924E+00      0.6775E-12
      0.8031E+00      0.9674E+00      0.6605E-12
      0.8066E+00      0.9264E+00      0.6325E-12
      0.8102E+00      0.8715E+00      0.5950E-12
      0.8137E+00      0.8056E+00      0.5500E-12
      0.8172E+00      0.7318E+00      0.4996E-12
      0.8207E+00      0.6535E+00      0.4462E-12
      0.8242E+00      0.5740E+00      0.3919E-12
      0.8277E+00      0.4960E+00      0.3386E-12
      0.8313E+00      0.4218E+00      0.2880E-12
      0.8348E+00      0.3532E+00      0.2411E-12
      0.8383E+00      0.2913E+00      0.1989E-12
      0.8418E+00      0.2367E+00      0.1616E-12
      0.8453E+00      0.1894E+00      0.1293E-12
      0.8488E+00      0.1495E+00      0.1020E-12
