               t          dE_tot           L_tot           N_tot
      0.4610E+03     -0.1151E-06     -0.1989E-06      0.8377E-07
      0.4620E+03     -0.8487E-07     -0.1679E-06      0.8302E-07
      0.4630E+03     -0.4383E-07     -0.1264E-06      0.8253E-07
      0.4640E+03      0.7854E-08     -0.7442E-07      0.8230E-07
      0.4650E+03      0.6750E-07     -0.1472E-07      0.8227E-07
      0.4660E+03      0.1312E-06      0.4877E-07      0.8243E-07
      0.4670E+03      0.1952E-06      0.1124E-06      0.8283E-07
      0.4680E+03      0.2567E-06      0.1731E-06      0.8360E-07
      0.4690E+03      0.3132E-06      0.2284E-06      0.8480E-07
      0.4700E+03      0.3622E-06      0.2759E-06      0.8626E-07
      0.4710E+03      0.4011E-06      0.3135E-06      0.8756E-07
      0.4720E+03      0.4278E-06      0.3393E-06      0.8845E-07
      0.4730E+03      0.4401E-06      0.3512E-06      0.8877E-07
      0.4740E+03      0.4364E-06      0.3478E-06      0.8841E-07
      0.4750E+03      0.4166E-06      0.3289E-06      0.8756E-07
      0.4760E+03      0.3813E-06      0.2948E-06      0.8635E-07
      0.4770E+03      0.3326E-06      0.2475E-06      0.8488E-07
      0.4780E+03      0.2737E-06      0.1900E-06      0.8338E-07
      0.4790E+03      0.2079E-06      0.1256E-06      0.8201E-07
      0.4800E+03      0.1382E-06      0.5716E-07      0.8071E-07
      0.4810E+03      0.6688E-07     -0.1279E-07      0.7938E-07
      0.4820E+03     -0.3649E-08     -0.8191E-07      0.7798E-07
      0.4830E+03     -0.7104E-07     -0.1478E-06      0.7648E-07
      0.4840E+03     -0.1327E-06     -0.2078E-06      0.7485E-07
      0.4850E+03     -0.1861E-06     -0.2594E-06      0.7309E-07
      0.4860E+03     -0.2292E-06     -0.3007E-06      0.7135E-07
      0.4870E+03     -0.2609E-06     -0.3309E-06      0.6990E-07
      0.4880E+03     -0.2808E-06     -0.3499E-06      0.6892E-07
      0.4890E+03     -0.2885E-06     -0.3572E-06      0.6856E-07
      0.4900E+03     -0.2832E-06     -0.3522E-06      0.6887E-07
      0.4910E+03     -0.2645E-06     -0.3343E-06      0.6973E-07
      0.4920E+03     -0.2327E-06     -0.3037E-06      0.7096E-07
      0.4930E+03     -0.1892E-06     -0.2615E-06      0.7234E-07
      0.4940E+03     -0.1365E-06     -0.2101E-06      0.7370E-07
      0.4950E+03     -0.7734E-07     -0.1522E-06      0.7494E-07
      0.4960E+03     -0.1502E-07     -0.9102E-07      0.7605E-07
      0.4970E+03      0.4706E-07     -0.2988E-07      0.7698E-07
      0.4980E+03      0.1057E-06      0.2809E-07      0.7763E-07
      0.4990E+03      0.1582E-06      0.8028E-07      0.7792E-07
      0.5000E+03      0.2025E-06      0.1247E-06      0.7784E-07
