               n     growth_rate
      0.0000E+00      0.1542E-01
      0.1000E+01      0.6749E-02
      0.2000E+01      0.1096E+00
      0.3000E+01      0.1544E+00
      0.4000E+01      0.1823E+00
      0.5000E+01      0.2009E+00
      0.6000E+01      0.2137E+00
      0.7000E+01      0.2228E+00
      0.8000E+01      0.2291E+00
      0.9000E+01      0.2334E+00
      0.1000E+02      0.2359E+00
      0.1100E+02      0.2371E+00
      0.1200E+02      0.2371E+00
      0.1300E+02      0.2361E+00
      0.1400E+02      0.2341E+00
      0.1500E+02      0.2314E+00
      0.1600E+02      0.2280E+00
      0.1700E+02      0.2238E+00
      0.1800E+02      0.2191E+00
      0.1900E+02      0.2138E+00
      0.2000E+02      0.2079E+00
      0.2100E+02      0.2014E+00
      0.2200E+02      0.1945E+00
      0.2300E+02      0.1871E+00
      0.2400E+02      0.1792E+00
      0.2500E+02      0.1709E+00
      0.2600E+02      0.1621E+00
      0.2700E+02      0.1528E+00
      0.2800E+02      0.1432E+00
      0.2900E+02      0.1331E+00
      0.3000E+02      0.1227E+00
      0.3100E+02      0.1118E+00
      0.3200E+02      0.1005E+00
      0.3300E+02      0.8886E-01
      0.3400E+02      0.7682E-01
      0.3500E+02      0.6439E-01
      0.3600E+02      0.5159E-01
      0.3700E+02      0.3841E-01
      0.3800E+02      0.2487E-01
      0.3900E+02      0.1096E-01
      0.4000E+02     -0.3323E-02
