               n               m        E_phi_nm        E_psi_nm          E_p_nm
      0.3400E+02     -0.1700E+03      0.1504E-36      0.2168E-34      0.2700E-28
      0.3500E+02     -0.1700E+03      0.8781E-37      0.1810E-34      0.2571E-28
      0.3600E+02     -0.1700E+03      0.4633E-37      0.9364E-35      0.1296E-28
      0.3700E+02     -0.1700E+03      0.2506E-37      0.4101E-35      0.6412E-29
      0.3800E+02     -0.1700E+03      0.1126E-37      0.3145E-35      0.3799E-29
      0.3900E+02     -0.1700E+03      0.5741E-38      0.1233E-35      0.1601E-29
      0.4000E+02     -0.1700E+03      0.2950E-38      0.4545E-36      0.4127E-30
 
     -0.4000E+02     -0.1690E+03      0.7747E-12      0.6346E-12      0.2408E-10
     -0.3900E+02     -0.1690E+03      0.4360E-13      0.4645E-13      0.2897E-12
     -0.3800E+02     -0.1690E+03      0.1605E-13      0.1389E-13      0.8266E-13
     -0.3700E+02     -0.1690E+03      0.7159E-14      0.7765E-14      0.4654E-13
     -0.3600E+02     -0.1690E+03      0.4159E-14      0.3904E-14      0.2245E-13
     -0.3500E+02     -0.1690E+03      0.1838E-14      0.1504E-14      0.1190E-13
     -0.3400E+02     -0.1690E+03      0.6084E-15      0.4526E-15      0.5711E-14
     -0.3300E+02     -0.1690E+03      0.1891E-15      0.1322E-15      0.3806E-14
     -0.3200E+02     -0.1690E+03      0.5090E-16      0.3372E-16      0.1825E-14
     -0.3100E+02     -0.1690E+03      0.1574E-16      0.9460E-17      0.1188E-14
     -0.3000E+02     -0.1690E+03      0.3368E-17      0.1903E-17      0.5821E-15
     -0.2900E+02     -0.1690E+03      0.1095E-17      0.5814E-18      0.3753E-15
     -0.2800E+02     -0.1690E+03      0.4405E-18      0.1520E-18      0.2011E-15
     -0.2700E+02     -0.1690E+03      0.1562E-18      0.3093E-19      0.1262E-15
     -0.2600E+02     -0.1690E+03      0.7586E-19      0.1434E-19      0.7487E-16
     -0.2500E+02     -0.1690E+03      0.3258E-19      0.5265E-20      0.3817E-16
     -0.2400E+02     -0.1690E+03      0.1224E-19      0.1718E-20      0.1669E-16
     -0.2300E+02     -0.1690E+03      0.5327E-20      0.7212E-21      0.7973E-17
     -0.2200E+02     -0.1690E+03      0.2008E-20      0.2918E-21      0.4305E-17
     -0.2100E+02     -0.1690E+03      0.5794E-21      0.1236E-21      0.2416E-17
     -0.2000E+02     -0.1690E+03      0.2584E-21      0.6246E-22      0.1568E-17
     -0.1900E+02     -0.1690E+03      0.8572E-22      0.2891E-22      0.1129E-17
     -0.1800E+02     -0.1690E+03      0.3334E-22      0.1440E-22      0.6174E-18
     -0.1700E+02     -0.1690E+03      0.1123E-22      0.6808E-23      0.3878E-18
     -0.1600E+02     -0.1690E+03      0.3814E-23      0.3672E-23      0.2313E-18
     -0.1500E+02     -0.1690E+03      0.1542E-23      0.2370E-23      0.1462E-18
     -0.1400E+02     -0.1690E+03      0.6187E-24      0.1583E-23      0.1074E-18
     -0.1300E+02     -0.1690E+03      0.2602E-24      0.8791E-24      0.7044E-19
     -0.1200E+02     -0.1690E+03      0.1228E-24      0.4434E-24      0.4682E-19
     -0.1100E+02     -0.1690E+03      0.6037E-25      0.2347E-24      0.2934E-19
     -0.1000E+02     -0.1690E+03      0.2543E-25      0.1528E-24      0.2141E-19
     -0.9000E+01     -0.1690E+03      0.9502E-26      0.1028E-24      0.1656E-19
     -0.8000E+01     -0.1690E+03      0.3627E-26      0.6388E-25      0.1184E-19
     -0.7000E+01     -0.1690E+03      0.1763E-26      0.3912E-25      0.7880E-20
     -0.6000E+01     -0.1690E+03      0.8946E-27      0.2323E-25      0.4800E-20
     -0.5000E+01     -0.1690E+03      0.4579E-27      0.1435E-25      0.3081E-20
     -0.4000E+01     -0.1690E+03      0.2327E-27      0.8774E-26      0.1926E-20
     -0.3000E+01     -0.1690E+03      0.1403E-27      0.6620E-26      0.1388E-20
     -0.2000E+01     -0.1690E+03      0.8506E-28      0.4668E-26      0.1061E-20
     -0.1000E+01     -0.1690E+03      0.5223E-28      0.2409E-26      0.6265E-21
      0.0000E+00     -0.1690E+03      0.2950E-28      0.1531E-26      0.4657E-21
      0.1000E+01     -0.1690E+03      0.1526E-28      0.8406E-27      0.2475E-21
      0.2000E+01     -0.1690E+03      0.6776E-29      0.6033E-27      0.1880E-21
      0.3000E+01     -0.1690E+03      0.3077E-29      0.3588E-27      0.1195E-21
      0.4000E+01     -0.1690E+03      0.1708E-29      0.1954E-27      0.6911E-22
      0.5000E+01     -0.1690E+03      0.8619E-30      0.1064E-27      0.4045E-22
      0.6000E+01     -0.1690E+03      0.3530E-30      0.6716E-28      0.2325E-22
      0.7000E+01     -0.1690E+03      0.2057E-30      0.5058E-28      0.1770E-22
      0.8000E+01     -0.1690E+03      0.1322E-30      0.3165E-28      0.1101E-22
      0.9000E+01     -0.1690E+03      0.6937E-31      0.2861E-28      0.8916E-23
      0.1000E+02     -0.1690E+03      0.3364E-31      0.1589E-28      0.4660E-23
      0.1100E+02     -0.1690E+03      0.2010E-31      0.1176E-28      0.2792E-23
      0.1200E+02     -0.1690E+03      0.1145E-31      0.4058E-29      0.1198E-23
      0.1300E+02     -0.1690E+03      0.6455E-32      0.2624E-29      0.9474E-24
      0.1400E+02     -0.1690E+03      0.3758E-32      0.1148E-29      0.5041E-24
      0.1500E+02     -0.1690E+03      0.2183E-32      0.1267E-29      0.3840E-24
      0.1600E+02     -0.1690E+03      0.1221E-32      0.1036E-29      0.3258E-24
      0.1700E+02     -0.1690E+03      0.6918E-33      0.8545E-30      0.3002E-24
      0.1800E+02     -0.1690E+03      0.4262E-33      0.4976E-30      0.1872E-24
      0.1900E+02     -0.1690E+03      0.2285E-33      0.2421E-30      0.1030E-24
      0.2000E+02     -0.1690E+03      0.1260E-33      0.1176E-30      0.6027E-25
      0.2100E+02     -0.1690E+03      0.7530E-34      0.9026E-31      0.3800E-25
      0.2200E+02     -0.1690E+03      0.4245E-34      0.5738E-31      0.2775E-25
      0.2300E+02     -0.1690E+03      0.3291E-34      0.3716E-31      0.1699E-25
      0.2400E+02     -0.1690E+03      0.2173E-34      0.2821E-31      0.1533E-25
      0.2500E+02     -0.1690E+03      0.1439E-34      0.2748E-31      0.1182E-25
